timestamp,open,high,low,close,volume,close_timestamp,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
1597104000000,2.85,3.47,2.8433,3.0497,151914,1597147199999,449342.0,1613,56698.0,168598.0
1597147200000,3.0497,3.5208,2.8625,3.2985,1400471,1597190399999,4489810.0,11877,685073.0,2201600.0
1597190400000,3.2985,3.9289,3.08,3.6842,1209918,1597233599999,4206910.0,13233,620672.0,2156860.0
1597233600000,3.6733,3.9,3.6,3.7558,527125,1597276799999,1969250.0,7885,268462.0,1005080.0
1597276800000,3.75,4.1387,3.5003,3.87,1069325,1597319999999,4091250.0,14053,457797.0,1762500.0
1597320000000,3.87,4.0555,3.5385,3.73,616435,1597363199999,2355320.0,8869,258562.0,993268.0
1597363200000,3.7207,3.7676,3.4267,3.7173,785010,1597406399999,2820120.0,9685,326472.0,1173530.0
1597406400000,3.7036,3.7133,3.321,3.4099,689152,1597449599999,2385720.0,8896,252180.0,875365.0
1597449600000,3.4181,3.74,3.163,3.45,782876,1597492799999,2695140.0,9250,334315.0,1156050.0
1597492800000,3.4527,3.4852,3.15,3.173,287357,1597535999999,962868.0,4653,105309.0,354425.0
1597536000000,3.173,3.4907,3.12,3.4193,478097,1597579199999,1581200.0,7537,172192.0,572374.0
1597579200000,3.4193,3.4726,3.34,3.3885,190010,1597622399999,646520.0,3122,95247.7,324050.0
1597622400000,3.3885,3.3952,3.2,3.2891,361360,1597665599999,1190760.0,4102,122675.0,404302.0
1597665600000,3.2891,3.2934,3.1,3.11,368054,1597708799999,1164570.0,4530,135517.0,429302.0
1597708800000,3.11,3.25,2.878,3.0672,769477,1597751999999,2352240.0,8840,307088.0,938822.0
1597752000000,3.0501,3.7092,2.8105,3.3407,1943639,1597795199999,6533060.0,18575,969511.0,3272560.0
1597795200000,3.334,3.49,2.8,3.01,883815,1597838399999,2746900.0,10373,292186.0,910501.0
1597838400000,3.01,3.1307,2.82,2.8868,549429,1597881599999,1633510.0,6703,195060.0,581448.0
1597881600000,2.8962,3.1898,2.8871,3.1508,457464,1597924799999,1391380.0,5128,202228.0,616123.0
1597924800000,3.151,3.445,3.109,3.2038,820364,1597967999999,2686860.0,9041,452085.0,1484560.0
1597968000000,3.2038,3.24,3.0,3.0918,647128,1598011199999,2018410.0,6828,207831.0,649861.0
1598011200000,3.0918,3.1636,2.89,2.9317,484768,1598054399999,1461930.0,6129,228124.0,691064.0
